route,inter_point
route 9,James Street
route 9,Dobroyd Parade
route 9,Dobroyd Parade
route 9,Dobroyd Parade
route 9,Dobroyd Parade
route 9,Dobroyd Parade
route 9,Dobroyd Parade
route 9,M4 East Tunnel Onramp
route 9,M4 East Tunnel Onramp
route 9,Bunnings Warehouse
route 9,M4 East Tunnel Onramp
route 9,18-20
route 9,Burns Street
route 9,Dawson Street
route 9,Bennett Street
route 9,M4 East Tunnel
route 9,1A
route 9,M4 East Tunnel
route 9,M4 East Tunnel
route 9,17
route 9,David Notholt Futsal Court
route 9,Western Motorway
route 9,Western Motorway
route 9,Western Motorway
route 9,Western Motorway
route 9,Western Motorway
route 9,Western Motorway
route 9,Costco
route 9,Western Motorway
route 9,Western Motorway
route 9,Stubbs Street
route 9,Western Motorway
route 9,Sydney Speedway
route 9,James Ruse Drive Offramp
route 9,19
route 9,Western Motorway Onramp
route 9,Wentworth Street
route 9,Western Motorway
route 9,Western Motorway
route 9,Western Motorway
route 10,Western Distributor
route 10,Western Distributor
route 10,Western Distributor
route 10,Western Distributor
route 10,Western Distributor Onramp
route 10,The Ribbon
route 10,Wheat Road
route 10,Western Distributor
route 10,King Street Offramp
route 10,Sewage Pumping Station No 13
route 10,Community Kids Sydney
route 10,Western Distributor
route 10,Western Distributor
route 10,Bradfield Highway
route 10,Sydney Harbour Bridge
route 10,Sydney Harbour Bridge
route 10,Bradfield Highway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway Onramp
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Warringah Freeway
route 10,Gore Hill Freeway
route 10,Gore Hill Freeway
route 10,1061
route 10,Gore Hill Freeway
route 10,Reserve Road Offramp
route 10,Pacific Highway Offramp
route 10,Gore Hill Freeway
route 10,Pacific Highway
route 10,482
route 10,506-512
route 10,Maurer Family Funerals
route 10,Meridian Chatswood
route 10,Western Way (256 & 545)
route 10,Volkswagen North Shore
route 10,782
route 10,856
route 10,Lexus Chatswood
route 10,7-Eleven Roseville
route 10,Roseville RSL
route 10,Pacific Highway
route 10,Pacific Highway
route 10,Pacific Highway
route 10,Gladstone Parade
route 10,258
route 10,Commonwealth Bank
route 10,Chans at Linfield
route 10,Pacific Highway
route 10,Killara Inn
route 10,542
route 10,562
route 10,576
route 10,Pacific Highway
route 10,672
route 10,700
route 10,1
route 10,St John The Evangelist
route 10,810
route 10,828
route 10,904-914
route 10,3M
route 10,Bridge St
route 10,1052
route 10,1116
route 10,1134
route 10,1192
route 10,Child First Therapy
route 10,1274
route 10,1316A
route 10,Red Light Camera
route 10,1340
route 10,8072
route 10,1428
route 10,Pacific Highway
route 10,Guardian funerals
route 10,Knox Grammar Senior School
route 10,Knox Grammar Senior School
route 10,Pacific Highway
route 10,Pacific Highway
route 10,8035
route 10,Pacific Highway
route 10,Pacific Motorway Onramp
route 10,Pacific Motorway Onramp
route 10,NorthConnex Ventilation Compound
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,427
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,437
route 10,Pacific Motorway
route 10,439
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Highway Offramp
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,449
route 10,Pacific Motorway
route 10,451
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,457
route 10,Pacific Motorway
route 10,Hawkesbury River Bridge
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway


route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,471
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,475
route 10,Pacific Motorway
route 10,Safe-T-Cam

route 10,Pacific Motorway
route 10,Pacific Motorway
route 10,Pacific Motorway
